prov,Beta,Theta,RRPgains,RRPloss
Anhui,0.607089775,8.458888889,0.572575182,0.556481481
Beijing,0.560765389,1.439323077,0.151664084,-0.136217949
Chongqing,0.195993923,9.441066667,0.604962013,-0.569444444
Fujian,0.54532551,4.796,-0.316542277,-0.382291667
Gansu,0.166810054,6.16,0.952518315,-0.925
Guangdong,0.599655106,2.275314286,0.548745567,-0.242261905
Guangxi,0.356940153,2.276133333,0.769388482,-0.347222222
Guizhou,1,4.5408,0.379899471,-0.5125
Hainan,0.464449827,2.1232,0.620156695,-0.208333333
Hebei,0.568015359,3.745745455,0.712376512,-0.665909091
Heilongjiang,0.692114707,1.68208,0.391176231,-0.5775
Henan,0.455959313,3.14945,0.463520045,-0.407291667
Hubei,0.299289944,5.32252973,0.346577644,-0.243243243
Hunan,0.386160202,3.7728,0.552676318,-0.433333333
Inner Mongolia,0.65622075,1.399866667,-0.393525302,-0.308333333
Jiangsu,0.5498894,2.159288889,0.440395751,-0.194444444
Jiangxi,0.655254874,3.592254545,0.630607633,-0.637878788
Jilin,0.470886002,28.376,0.894888584,-0.702083333
Liaoning,0.457149351,2.504888889,0.648536494,-0.375925926
Ningxia,0.572356404,9.753866667,0.530289309,-0.222222222
Shaanxi,0.421987962,1.4988,0.763629426,-0.208333333
Shandong,0.393438701,3.673533333,0.506063153,-0.539583333
Shanghai,0.486000393,2.412533333,0.513745041,-0.408888889
Shanxi,0.598637614,2.599688889,0.499764731,-0.222222222
Sichuan,0.466789402,8.65165,0.487677172,-0.375
Tianjin,0.200707204,1.223,0.57337846,-0.292708333
Xinjiang,0.903771188,1.9152,0.532498982,-0.020833333
Yunnan,0.129154967,1.832,0.712388075,-0.166666667
Zhejiang,0.600663686,3.083511111,0.601897323,-0.412037037