INTRA,,,,,,
prov,Patience,Beta,Delta,Theta,RRP_gains,RRP_loss
Anhui,0.44,0.61,0.75,8.46,0.63,-0.40
Beijing,0.64,0.53,0.79,1.45,0.52,-0.36
Chongqing,0.33,0.20,0.65,9.44,0.58,-0.52
Fujian,0.75,0.55,0.79,4.80,0.86,-0.93
Gansu,0.00,0.17,0.60,6.16,0.95,-0.93
Guangdong,0.57,0.60,0.77,2.28,0.46,-0.42
Guangxi,0.67,0.36,0.74,2.28,0.77,-0.35
Guizhou,0.00,1.00,1.00,4.54,0.38,-0.51
Hainan,0.50,0.46,0.80,2.12,0.62,-0.21
Hebei,0.67,0.53,0.75,3.52,0.71,-0.67
Heilongjiang,1.00,0.69,0.78,1.68,0.53,-0.66
Henan,0.63,0.46,0.72,3.15,0.59,-0.56
Hubei,0.46,0.30,0.73,5.32,0.60,-0.56
Hunan,0.50,0.41,0.71,3.45,0.55,-0.43
Inner Mongolia,1.00,0.66,0.85,1.40,0.52,-0.59
Jiangsu,0.72,0.55,0.72,2.16,0.59,-0.45
Jiangxi,0.55,0.66,0.74,3.59,0.63,-0.77
Jilin,1.00,0.47,0.53,28.38,0.89,-0.70
Liaoning,0.89,0.46,0.79,2.50,0.67,-0.56
Ningxia,1.00,0.57,0.73,9.75,0.53,-0.22
Shaanxi,1.00,0.42,0.76,1.50,0.77,-0.46
Shandong,0.58,0.39,0.76,3.67,0.67,-0.59
Shanghai,0.73,0.49,0.74,2.41,0.61,-0.47
Shanxi,0.78,0.60,0.83,2.60,0.65,-0.61
Sichuan,0.67,0.46,0.77,7.94,0.49,-0.38
Tianjin,0.00,0.20,0.76,1.22,0.73,-0.61
Xinjiang,1.00,0.90,0.78,1.92,0.23,-0.17
Yunnan,0.00,0.13,0.77,1.83,0.71,-0.17
Zhejiang,0.58,0.60,0.73,3.03,0.65,-0.54