PANDA,,,,
prov,Patience,Theta,RRP_gains,RRP_loss
Anhui,0.88,2.70,0.71,-0.79
Beijing,0.47,2.37,0.60,-0.72
Chongqing,0.66,2.54,0.69,-0.76
Fujian,0.72,2.68,0.72,-0.86
Gansu,0.63,3.21,0.42,-0.58
Guangdong,0.61,4.03,0.68,-0.78
Guangxi,0.71,2.49,0.76,-0.73
Guizhou,0.33,8.83,0.92,-0.91
Hainan,0.58,5.06,0.81,-0.81
Hebei,0.71,7.48,0.76,-0.58
Heilongjiang,0.60,0.84,0.82,-0.82
Henan,0.71,2.67,0.76,-0.68
Hubei,0.60,3.13,0.71,-0.66
Hunan,0.65,2.59,0.68,-0.71
Inner Mongolia,0.67,2.89,0.75,-0.86
Jiangsu,0.73,1.63,0.73,-0.81
Jiangxi,0.72,1.72,0.75,-0.79
Jilin,0.80,2.73,0.84,-0.97
Liaoning,0.50,5.22,0.89,-0.72
Ningxia,1.00,1.33,0.71,-0.58
Shandong,0.65,3.83,0.73,-0.75
Shanghai,0.67,3.50,0.80,-0.96
Shanxi,0.69,3.57,0.79,-0.68
Sichuan,0.77,2.30,0.52,-0.63
Tianjin,0.75,0.85,0.33,-0.44
Xinjiang,1.00,1.13,0.69,-0.68
Yunnan,0.80,1.92,0.74,-0.65
Zhejiang,0.65,3.03,0.70,-0.67